VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: MEDIUM 2000 MICROGRAMS PER CUBIC METRE CONTOUR
MEDIUM; 2000 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190511/0600
FLIGHT LEVEL: SFC/FL200
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N623337,W0185649
N633802,W0193106
N652241,W0163704
N643340,W0100929
N643016,W0033636
N610654,W0040815
N584416,W0011135
N575425,W0023558
N590320,W0065938
N600842,W0083711
N595413,W0122635
N621921,W0144342
N623337,W0185649
