VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: MEDIUM 2000 MICROGRAMS PER CUBIC METRE CONTOUR
MEDIUM; 2000 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190511/0000
FLIGHT LEVEL: SFC/FL200
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N633245,W0184616
N651422,W0165651
N645554,W0130330
N633212,W0075222
N595908,W0070613
N595431,W0084228
N604759,W0103312
N610438,W0132714
N633245,W0184616
