VOLCANO: ASKJA
PSN: N6503 W01647

MODEL RUN: 20190510/1200Z
VALIDITY TIME: 20190510/1200Z
REMARKS: EXERCISE EXERCISE ERUPTION CONTINUES TO 20KM EXERCISE EXERCISE. CSV FORMATTED COORDINATES FROM VAA BULLETIN. (OFFICIAL VAA TAKES PRECEDENCE AT ALL TIMES.)

POLY 1: SFC/FL200
N652331,W0182109
N653642,W0155330
N631542,W0132829
N630125,W0175726
N652331,W0182109

POLY 2: FL200/FL350
N652754,W0184456
N652900,W0155055
N630942,W0125931
N630942,W0162749
N652754,W0184456

POLY 3: FL350/FL550
N632023,W0161717
N645145,W0192945
N652606,W0190840
N652606,W0144738
N632023,W0161717
