VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: HIGH 4000 MICROGRAMS PER CUBIC METRE CONTOUR
HIGH; 4000 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190511/0000
FLIGHT LEVEL: SFC/FL200
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N633407,W0183133
N650921,W0165121
N643544,W0123135
N632519,W0075606
N600238,W0071355
N600000,W0083539
N610603,W0104609
N611500,W0132939
N633407,W0183133
