VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: LOW 200 MICROGRAMS PER CUBIC METRE CONTOUR
LOW; 200 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190510/1200
FLIGHT LEVEL: SFC/FL200
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N633818,W0144224
N631502,W0151722
N631210,W0152751
N633440,W0163907
N633552,W0175013
N634212,W0175931
N635222,W0180421
N644821,W0180330
N645832,W0175603
N652433,W0171506
N652408,W0155443
N643056,W0143630
N635351,W0143256
N633818,W0144224
