VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: MEDIUM 2000 MICROGRAMS PER CUBIC METRE CONTOUR
MEDIUM; 2000 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190510/1200
FLIGHT LEVEL: FL200/FL350
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N651230,W0161200
N640924,W0143427
N631429,W0144340
N632101,W0160127
N635314,W0165809
N644254,W0173327
N651137,W0170722
N651230,W0161200
