VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: MEDIUM 2000 MICROGRAMS PER CUBIC METRE CONTOUR
MEDIUM; 2000 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190510/1800
FLIGHT LEVEL: SFC/FL200
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N614228,W0121046
N635609,W0192430
N652513,W0162632
N641840,W0123430
N631434,W0111802
N621555,W0110729
N614228,W0121046
