VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: HIGH 4000 MICROGRAMS PER CUBIC METRE CONTOUR
HIGH; 4000 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190511/0600
FLIGHT LEVEL: FL350/FL550
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N661737,W0230427
N663956,W0204959
N662155,W0122622
N633552,W0082904
N623614,W0091353
N623122,W0110438
N641516,W0151507
N642059,W0202853
N652129,W0232016
N661737,W0230427
