VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: LOW 200 MICROGRAMS PER CUBIC METRE CONTOUR
LOW; 200 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190511/0000
FLIGHT LEVEL: SFC/FL200
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N652414,W0152114
N650250,W0141704
N650239,W0120252
N644020,W0105434
N644006,W0094723
N641750,W0083934
N641744,W0080721
N641348,W0075648
N631619,W0071438
N614620,W0071401
N603625,W0064024
N592513,W0064019
N591340,W0064420
N590445,W0065956
N590527,W0081509
N592911,W0085241
N595114,W0095842
N601411,W0103357
N603330,W0113153
N601257,W0123339
N601308,W0124546
N603809,W0135839
N610318,W0143541
N614524,W0150736
N622710,W0171253
N622813,W0174945
N625142,W0182627
N631213,W0192752
N631306,W0200425
N632545,W0201810
N634102,W0201826
N635240,W0200832
N641549,W0190008
N643847,W0182452
N650049,W0171854
N652348,W0164337
N652414,W0152114
