VOLCANO: ASKJA
PSN: N6503 W01647

MODEL RUN: 20190510/1200Z
VALIDITY TIME: 20190511/0000Z
REMARKS: EXERCISE EXERCISE ERUPTION CONTINUES TO 20KM EXERCISE EXERCISE. CSV FORMATTED COORDINATES FROM VAA BULLETIN. (OFFICIAL VAA TAKES PRECEDENCE AT ALL TIMES.)

POLY 1: SFC/FL200
N632023,W0212030
N654736,W0162511
N642418,W0065817
N590947,W0063712
N582850,W0085657
N632023,W0212030

POLY 2: FL200/FL350
N643859,W0203024
N664614,W0133348
N603821,W0034827
N583701,W0044349
N582723,W0074307
N643859,W0203024

POLY 3: FL350/FL550
N643751,W0243537
N663127,W0215208
N661637,W0132315
N630835,W0093908
N614540,W0110609
N643751,W0243537
