VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: LOW 200 MICROGRAMS PER CUBIC METRE CONTOUR
LOW; 200 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190511/0600
FLIGHT LEVEL: FL200/FL350
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N660910,W0123221
N654750,W0112819
N654643,W0105117
N652319,W0101445
N643832,W0080046
N635520,W0072447
N635520,W0044630
N635222,W0043558
N632104,W0035350
N621056,W0035131
N614020,W0032832
N613840,W0025715
N605319,W0014830
N603012,W0004017
N600349,W0000125
N594402,E0000443
N594748,E0001548
N594753,E0012456
N594135,E0013938
N593122,E0014522
N591939,E0014455
N580750,E0010915
N575711,E0005125
N575726,E0001330
N580518,E0000000
N573448,W0004810
N573440,W0033959
N581940,W0055753
N582044,W0063450
N601411,W0092627
N603440,W0102753
N603645,W0110723
N614411,W0124857
N620814,W0135846
N625254,W0143351
N635852,W0175131
N642424,W0183022
N643555,W0183748
N652750,W0183824
N654034,W0183302
N660940,W0171443
N660932,W0170332
N655004,W0160504
N661015,W0153003
N660910,W0123221
