VOLCANO: ASKJA 373060
PSN: N6503 W01647
VOLCANIC ASH CONCENTRATION: LOW 200 MICROGRAMS PER CUBIC METRE CONTOUR
LOW; 200 MICROGRAMS PER CUBIC METRE CONTOUR
ISSUE TYPE: EXERCISE
MODEL RUN: 20190510/1200
ISSUE TIME: 20190510/1236
VALIDITY TIME: 20190511/0000
FLIGHT LEVEL: FL200/FL350
REMARKS: EXERCISE EXERCISE VA MOV SE AT 20KT EXERCISE EXERCISE
ORIGINATOR: LONDON VAAC
POLY 1
N654643,W0144729
N652520,W0134322
N652256,W0130315
N645653,W0122430
N641750,W0115447
N641714,W0112651
N635520,W0102053
N635454,W0091234
N632929,W0075750
N623731,W0071709
N621055,W0071401
N614020,W0065105
N613627,W0061546
N604940,W0053920
N602621,W0050508
N593603,W0042739
N592514,W0042519
N591442,W0042839
N584226,W0051712
N584328,W0074300
N590641,W0081857
N592941,W0092700
N601411,W0103357
N603705,W0114148
N612141,W0124857
N614343,W0135455
N620641,W0143011
N622902,W0153654
N631411,W0164511
N633702,W0175257
N642357,W0190332
N643538,W0191128
N644914,W0191041
N645939,W0190154
N652319,W0175241
N654705,W0171459
N654643,W0144729
