20181231212848	4.5188	61.0613	-3	1	10.4
20181231214414	4.7613	61.535	6	1	9.8
20181231234424	6.0733	62.2571	8	1	2.3
20181231234424	6.4618	62.7909	122	1	0.2
20190101072146	6.184	58.7283	84	1	0.5
20190101092721	6.5365	62.2595	-7	1	1.5
20190101134632	13.8535	67.319	23	1	0.4
20190106235604	15.5681	62.5061	-13	1	9.8
20190107014236	17.8259	71.2177	18	1	1.4
20190107025452	15.583	69.0325	40	1	2.1
20190107030700	17.6217	69.9379	-13	1	8.2
20190107030700	18.2529	70.1485	-13	1	9.1
20190107044845	15.2686	67.9868	-4	1	1.8
20190110231907	18.0816	69.8163	-7	1	1
20190111000252	24.6705	64.6727	6	1	10.2
20190111000458	12.3665	68.0042	-15	1	14.4
20190111014055	15.489	67.6503	-5	1	2.5
20190111015631	14.6218	68.8142	-24	1	1.4
20190111020157	10.2517	68.2658	57	1	3.1
20190111021858	15.0551	67.1632	-8	1	1.6
20190111024053	12.49	67.1774	-17	1	1
20190111024817	15.6424	67.576	-8	1	7.9
20190111025544	10.7458	67.7954	-17	1	2.7
20190111033007	12.0888	67.2554	50	1	0.5
20190111033341	12.2396	67.2063	31	1	0.6
20190111033341	13.2866	66.7514	-7	1	6.9
20190111033745	12.3295	67.1608	32	1	1.2
20190111034134	14.9355	67.146	-6	1	8.7
20190111041731	13.8141	66.7832	5	1	0.7
20190111044455	13.6141	66.2112	-12	1	0.4
20190111045123	13.5658	66.7269	-22	1	0.3
20190111045312	13.6116	66.6782	32	1	0.3
20190111045605	13.5477	66.7035	53	1	0.3
20190111045938	14.0262	66.5146	19	1	0.6
20190111052806	14.3051	66.6152	14	1	0.5
20190111053528	15.2722	68.7179	-10	1	3.2
20190111114525	14.9474	67.2734	-7	1	5.8
20190113233929	5.1801	65.5339	-359	1	2.2
20190114005640	10.2327	64.1339	-9	3	0.5
20190114012818	10.2929	64.1046	-5	1	7.6
20190114013020	10.2328	64.134	-8	1	0.5
20190114014002	9.7278	64.0934	-31	1	7.2
20190114014606	8.7036	62.4696	10	1	3.3
20190114014606	9.9078	64.0091	-9	1	0.4
20190114022145	9.7049	63.8225	-11	1	1.7
20190114024445	9.8847	63.6963	-26	1	0.3
20190114024845	10.1052	63.6169	-51	5	0.2
20190114025150	9.6962	63.7019	-191	2	0.2
20190114032040	10.3485	63.362	-8	2	5.5
20190114032040	10.8125	62.5177	-5	1	6.7
20190114032150	10.2356	63.4184	9	1	0.3
20190114033441	8.7148	63.3801	-9	1	0.6
20190114045429	7.7421	63.3259	12	2	0.9
20190114045844	7.7967	63.266	81	1	2.6
20190114050148	7.8647	63.2452	24	1	0.5
20190114051419	8.1304	62.7606	-4	1	5.4
20190114052316	7.9581	63.1479	15	1	1.2
20190114052316	9.2709	62.8745	-8	1	7.6
20190114053622	8.1139	63.0376	-95	1	0.6
20190114094129	13.1919	55.0039	-22	1	0.6
20190114100800	10.9208	64.9005	-6	1	0.7
20190114113132	8.7641	63.4178	-8	1	0.5
20190115084158	22.7143	53.4108	-21	2	7.5
20190115095237	23.0296	53.2406	-18	4	11.2
20190115130718	23.4921	52.6495	-21	1	14.2
